text,text_clean,label_id,category,panjang_karakter,jumlah_kata,ada_angka,semua_kapital,jumlah_kata_kunci_cocok,kata_makanan,kata_minuman,kata_transportasi,kata_belanja,kata_tagihan,kata_hiburan,kata_kesehatan
RTD Madu Aloevera,rtd madu aloevera,7,lain_lain,17,3,0,0,0,0,0,0,0,0,0,0
RTD Lemongrass Aloe,rtd lemongrass aloe,1,minuman,19,3,0,0,1,0,1,0,0,0,0,0
Pdg Madness,pdg madness,1,minuman,11,2,0,0,1,0,1,0,0,0,0,0
BCT,bct,7,lain_lain,3,1,0,1,0,0,0,0,0,0,0,0
CINNAMON SUGAR,cinnamon sugar,7,lain_lain,14,2,0,1,0,0,0,0,0,0,0,0
SAM DA S00 MINERAL WATER,sam da s00 mineral water,1,minuman,24,5,1,1,3,1,1,0,0,1,0,0
TWIST DONUT,twist donut,0,makanan,11,2,0,1,1,1,0,0,0,0,0,0
Common Law,common law,7,lain_lain,10,2,0,0,0,0,0,0,0,0,0,0
Tigger Roll,tigger roll,7,lain_lain,11,2,0,0,0,0,0,0,0,0,0,0
Ketoprak SPC,ketoprak spc,0,makanan,12,2,0,0,1,1,0,0,0,0,0,0
UDG GR TLUR ASIN,udg gr tlur asin,7,lain_lain,16,4,0,1,0,0,0,0,0,0,0,0
CUMI GR JUNJAN,cumi gr junjan,0,makanan,14,3,0,1,1,1,0,0,0,0,0,0
OYONG 3 TELOR,oyong 3 telor,7,lain_lain,13,3,1,1,0,0,0,0,0,0,0,0
GURAME FILLET M,gurame fillet m,7,lain_lain,15,3,0,1,0,0,0,0,0,0,0,0
CHINESE TE,chinese te,1,minuman,10,2,0,1,1,0,1,0,0,0,0,0
CRYSANTNUM,crysantnum,7,lain_lain,10,1,0,1,0,0,0,0,0,0,0,0
Round Wagyu ( 1gr ),round wagyu 1gr,7,lain_lain,15,3,1,0,0,0,0,0,0,0,0,0
TT,tt,7,lain_lain,2,1,0,1,0,0,0,0,0,0,0,0
CHEEZY DOG BITES,cheezy dog bites,1,minuman,16,3,0,1,1,0,1,0,0,0,0,0
Cheese Tart,cheese tart,1,minuman,11,2,0,0,1,0,1,0,0,0,0,0
EGG TART,egg tart,7,lain_lain,8,2,0,1,0,0,0,0,0,0,0,0
ZAI.Milk Choco Egg Avenger60gr,zai milk choco egg avenger60gr,1,minuman,30,5,1,0,2,1,1,0,0,0,0,0
ZAI.Milk Choco Egg Frozen 60gr,zai milk choco egg frozen 60gr,1,minuman,30,6,1,0,2,1,1,0,0,0,0,0
TWIST STRAWBERRY DONUT,twist strawberry donut,0,makanan,22,3,0,1,1,1,0,0,0,0,0,0
TLJ CROQUETTE,tlj croquette,7,lain_lain,13,2,0,1,0,0,0,0,0,0,0,0
POTATO PEPPER BAGEL,potato pepper bagel,3,belanja,19,3,0,1,1,0,0,0,1,0,0,0
IKAN GABUS FRESH,ikan gabus fresh,1,minuman,16,3,0,1,3,1,1,1,0,0,0,0
IKAN BUMBU KUNING,ikan bumbu kuning,0,makanan,17,3,0,1,1,1,0,0,0,0,0,0
OCTOPUS SATAY,octopus satay,7,lain_lain,13,2,0,1,0,0,0,0,0,0,0,0
FA-Cookies Mix 200 gr,fa cookies mix 200 gr,1,minuman,21,5,1,0,2,1,1,0,0,0,0,0
FA-Polycello Bag 200 gr,fa polycello bag 200 gr,3,belanja,23,5,1,0,1,0,0,0,1,0,0,0
BACON SHIMEJI SPAGHE,bacon shimeji spaghe,5,hiburan,20,3,0,1,1,0,0,0,0,0,1,0
CHICKEN KATSUDON,chicken katsudon,0,makanan,16,2,0,1,1,1,0,0,0,0,0,0
WELL TORI KARAAGE MU,well tori karaage mu,7,lain_lain,20,4,0,1,0,0,0,0,0,0,0,0
WELL CHICKEN KATSU C,well chicken katsu c,0,makanan,20,4,0,1,1,1,0,0,0,0,0,0
CLASSIC TOMATO,classic tomato,7,lain_lain,14,2,0,1,0,0,0,0,0,0,0,0
RENDANG OMURICE,rendang omurice,1,minuman,15,2,0,1,2,1,1,0,0,0,0,0
#F11 CREAM HAMBURG 0,f11 cream hamburg 0,7,lain_lain,19,4,1,1,0,0,0,0,0,0,0,0
Sesame Toast,sesame toast,1,minuman,12,2,0,0,2,1,1,0,0,0,0,0
Seafood Tempura BBQ,seafood tempura bbq,7,lain_lain,19,3,0,0,0,0,0,0,0,0,0,0
Sweet Plum Potato*,sweet plum potato,7,lain_lain,17,3,0,0,0,0,0,0,0,0,0,0
HOME CHARGER+KABEL 138 IP5 TS C,home charger kabel 138 ip5 ts c,3,belanja,31,7,1,1,1,0,0,0,1,0,0,0
Pillow Choco,pillow choco,7,lain_lain,12,2,0,0,0,0,0,0,0,0,0,0
Pillow Cheese,pillow cheese,1,minuman,13,2,0,0,1,0,1,0,0,0,0,0
Pillow Kombi,pillow kombi,7,lain_lain,12,2,0,0,0,0,0,0,0,0,0,0
Iced Mochaccino,iced mochaccino,1,minuman,15,2,0,0,1,0,1,0,0,0,0,0
Rice Organik,rice organik,1,minuman,12,2,0,0,2,1,1,0,0,0,0,0
1pc Chicken OR,1pc chicken or,0,makanan,14,3,1,0,1,1,0,0,0,0,0,0
YANG YUM GUI,yang yum gui,7,lain_lain,12,3,0,1,0,0,0,0,0,0,0,0
SOONDUBU CHIGE,soondubu chige,7,lain_lain,14,2,0,1,0,0,0,0,0,0,0,0
JAP CHAE,jap chae,7,lain_lain,8,2,0,1,0,0,0,0,0,0,0,0
MAKOLI,makoli,7,lain_lain,6,1,0,1,0,0,0,0,0,0,0,0
GOCHUJANG,gochujang,7,lain_lain,9,1,0,1,0,0,0,0,0,0,0,0
BIBIMBAB,bibimbab,7,lain_lain,8,1,0,1,0,0,0,0,0,0,0,0
CHOCO ALMOND,choco almond,7,lain_lain,12,2,0,1,0,0,0,0,0,0,0,0
#PKTPOLSBTSPON2S,pktpolsbtspon2s,7,lain_lain,15,1,1,1,0,0,0,0,0,0,0,0
BENECOL LYCHEE 2S,benecol lychee 2s,7,lain_lain,17,3,1,1,0,0,0,0,0,0,0,0
REGAL MARIE 125 GR,regal marie 125 gr,7,lain_lain,18,4,1,1,0,0,0,0,0,0,0,0
7 UP CAN 330 ML,7 up can 330 ml,7,lain_lain,15,5,1,1,0,0,0,0,0,0,0,0
SAKATONIK LVR 10S,sakatonik lvr 10s,7,lain_lain,17,3,1,1,0,0,0,0,0,0,0,0
DUA BELIBIS SBL135,dua belibis sbl135,7,lain_lain,18,3,1,1,0,0,0,0,0,0,0,0
DAUN SEREH,daun sereh,7,lain_lain,10,2,0,1,0,0,0,0,0,0,0,0
WACOM BAMBOO PEN,wacom bamboo pen,7,lain_lain,16,3,0,1,0,0,0,0,0,0,0,0
GIGA,giga,7,lain_lain,4,1,0,1,0,0,0,0,0,0,0,0
4-Chunks,4 chunks,7,lain_lain,8,2,1,0,0,0,0,0,0,0,0,0
BBQ Chicken,bbq chicken,0,makanan,11,2,0,0,1,1,0,0,0,0,0,0
BOLU KUKUS PX,bolu kukus px,7,lain_lain,13,3,0,1,0,0,0,0,0,0,0,0
S-Matcha Macchiato,s matcha macchiato,1,minuman,18,3,0,0,1,0,1,0,0,0,0,0
KFC DAY,kfc day,7,lain_lain,7,2,0,1,0,0,0,0,0,0,0,0
CHARGE TA,charge ta,7,lain_lain,9,2,0,1,0,0,0,0,0,0,0,0
DEPT04,dept04,7,lain_lain,6,1,1,1,0,0,0,0,0,0,0,0
DEPT01,dept01,7,lain_lain,6,1,1,1,0,0,0,0,0,0,0,0
PAKET CHICKEN 4,paket chicken 4,0,makanan,15,3,1,1,1,1,0,0,0,0,0,0
PR ORIGINAL 150gr,pr original 150gr,7,lain_lain,17,3,1,0,0,0,0,0,0,0,0,0
Butter croissant,butter croissant,7,lain_lain,16,2,0,0,0,0,0,0,0,0,0,0
Almond Croissant,almond croissant,7,lain_lain,16,2,0,0,0,0,0,0,0,0,0,0
Mini Chocolate Donut,mini chocolate donut,1,minuman,20,3,0,0,2,1,1,0,0,0,0,0
Arem Arem,arem arem,7,lain_lain,9,2,0,0,0,0,0,0,0,0,0,0
A Chicken,a chicken,0,makanan,9,2,0,0,1,1,0,0,0,0,0,0
RISOL ROGUT,risol rogut,7,lain_lain,11,2,0,1,0,0,0,0,0,0,0,0
MIKA KCL,mika kcl,0,makanan,8,2,0,1,1,1,0,0,0,0,0,0
Choco Cheese,choco cheese,1,minuman,12,2,0,0,1,0,1,0,0,0,0,0
CARAMELALMOND,caramelalmond,7,lain_lain,13,1,0,1,0,0,0,0,0,0,0,0
Coffee Rocksalt [R],coffee rocksalt r,1,minuman,17,3,0,0,1,0,1,0,0,0,0,0
ICED NUTELLA LATTE [R],iced nutella latte r,1,minuman,20,4,0,1,1,0,1,0,0,0,0,0
ICED MOCHA LATTE [R],iced mocha latte r,1,minuman,18,4,0,1,1,0,1,0,0,0,0,0
XXL Crspy Chicken,xxl crspy chicken,0,makanan,17,3,0,0,1,1,0,0,0,0,0,0
MANUKA HONEY,manuka honey,7,lain_lain,12,2,0,1,0,0,0,0,0,0,0,0
Ice Kokofie,ice kokofie,1,minuman,11,2,0,0,1,0,1,0,0,0,0,0
HAZELNUT ALM,hazelnut alm,7,lain_lain,12,2,0,1,0,0,0,0,0,0,0,0
CAPPUCINO CI,cappucino ci,7,lain_lain,12,2,0,1,0,0,0,0,0,0,0,0
TIRAMISU CIN,tiramisu cin,0,makanan,12,2,0,1,1,1,0,0,0,0,0,0
Spaghetti Bini Muda (Bol ognese) - DINE IN,spaghetti bini muda bol ognese dine in,1,minuman,38,7,0,0,2,0,1,0,0,0,1,0
French Fries - DINE IN,french fries dine in,1,minuman,20,4,0,0,1,0,1,0,0,0,0,0
Mineral Water - DINE IN,mineral water dine in,1,minuman,21,4,0,0,3,1,1,0,0,1,0,0
KUPAT TAHU,kupat tahu,0,makanan,10,2,0,1,1,1,0,0,0,0,0,0
MIE KOCOK,mie kocok,0,makanan,9,2,0,1,1,1,0,0,0,0,0,0
GARISH PC,garish pc,7,lain_lain,9,2,0,1,0,0,0,0,0,0,0,0
PLASTIK BAG;: 000 PC,plastik bag 000 pc,3,belanja,18,4,1,1,1,0,0,0,1,0,0,0
109.NG NANAS,109 ng nanas,7,lain_lain,12,3,1,1,0,0,0,0,0,0,0,0
DE13.PSANG IJO MDM,de13 psang ijo mdm,7,lain_lain,18,4,1,1,0,0,0,0,0,0,0,0
CT12.BLK JELY KPI IC,ct12 blk jely kpi ic,7,lain_lain,20,5,1,1,0,0,0,0,0,0,0,0
CHOCO CHIP,choco chip,7,lain_lain,10,2,0,1,0,0,0,0,0,0,0,0
CHOCO BANANA,choco banana,7,lain_lain,12,2,0,1,0,0,0,0,0,0,0,0
CHOCBAN CUP,chocban cup,7,lain_lain,11,2,0,1,0,0,0,0,0,0,0,0
RED VELVET,red velvet,7,lain_lain,10,2,0,1,0,0,0,0,0,0,0,0
SAUSAGE AND SALAMI,sausage and salami,0,makanan,18,3,0,1,1,1,0,0,0,0,0,0
GREEN MONSIEUR,green monsieur,7,lain_lain,14,2,0,1,0,0,0,0,0,0,0,0
ROASTED MT ( R ),roasted mt r,7,lain_lain,12,3,0,1,0,0,0,0,0,0,0,0
Peanut & Cheese,peanut cheese,1,minuman,13,2,0,0,1,0,1,0,0,0,0,0
PAIN AU CHOCOLATE,pain au chocolate,1,minuman,17,3,0,1,1,0,1,0,0,0,0,0
APPLE PIE,apple pie,0,makanan,9,2,0,1,1,1,0,0,0,0,0,0
[RICHE] WHITE SKIMM,riche white skimm,7,lain_lain,17,3,0,1,0,0,0,0,0,0,0,0
ALMOND CROSSIANT,almond crossiant,7,lain_lain,16,2,0,1,0,0,0,0,0,0,0,0
Double Choco Crispy,double choco crispy,7,lain_lain,19,3,0,0,0,0,0,0,0,0,0,0
Smoke Beef + Aqua,smoke beef aqua,1,minuman,15,3,0,0,2,1,1,0,0,0,0,0
PREMIUM TOAST PAN BREAD,premium toast pan bread,0,makanan,23,4,0,1,1,1,0,0,0,0,0,0
GOCHUJANG SAMGYEOPSAL,gochujang samgyeopsal,7,lain_lain,21,2,0,1,0,0,0,0,0,0,0,0
LAY'S NORI SEAWD 55G,lay s nori seawd 55g,7,lain_lain,20,5,1,1,0,0,0,0,0,0,0,0
QTELA KRP/TMPE ORI55,qtela krp tmpe ori55,7,lain_lain,20,4,1,1,0,0,0,0,0,0,0,0
SOSRO TEH BOTOL 350,sosro teh botol 350,1,minuman,19,4,1,1,3,0,1,1,1,0,0,0
PUCUK/H TEH L/SGR350,pucuk h teh l sgr350,1,minuman,20,5,1,1,1,0,1,0,0,0,0,0
AQUA AIR MINERAL 600,aqua air mineral 600,1,minuman,20,4,1,1,3,1,1,0,0,1,0,0
PEDULI DISABILITAS,peduli disabilitas,3,belanja,18,2,0,1,1,0,0,0,1,0,0,0
Kupon 7,kupon 7,7,lain_lain,7,2,1,0,0,0,0,0,0,0,0,0
MINERAL WATER,mineral water,1,minuman,13,2,0,1,3,1,1,0,0,1,0,0
BAK MANDI (BAK MANDI TAIWAN BESAR),bak mandi bak mandi taiwan besar,1,minuman,32,6,0,1,1,0,1,0,0,0,0,0
TATAKAN MANDI (JARING MANDI JALA) -,tatakan mandi jaring mandi jala,7,lain_lain,31,5,0,1,0,0,0,0,0,0,0,0
BAJU ATASAN(PETITE MIMI ROMPER 3D FOREST / RM0003),baju atasan petite mimi romper 3d forest rm0003,1,minuman,47,8,1,1,3,1,1,0,1,0,0,0
ACCESORIES(SUN BABES PENUTUP MATA),accesories sun babes penutup mata,1,minuman,33,5,0,1,1,0,1,0,0,0,0,0
KAPAS (KAPAS MEDISOFT COTTON BALL 120),kapas kapas medisoft cotton ball 120,7,lain_lain,36,6,1,1,0,0,0,0,0,0,0,0
JOIE KUBBIE(BABY BOX),joie kubbie baby box,7,lain_lain,20,4,0,1,0,0,0,0,0,0,0,0
BUDS CALMING TUMMY RUB CREAM 30ML(TOILETRIES),buds calming tummy rub cream 30ml toiletries,1,minuman,44,7,1,1,2,1,1,0,0,0,0,0
BUDS PRECIOUS NEWBORN CREAM 75ML(TOILETRIES),buds precious newborn cream 75ml toiletries,1,minuman,43,6,1,1,1,0,1,0,0,0,0,0
BUDS PRECIOUS NEWBORN HEAD TO TOE CLEANSER 250ML(TOILETRIES),buds precious newborn head to toe cleanser 250ml toiletries,1,minuman,59,9,1,1,1,0,1,0,0,0,0,0
CRISPY APPLE RAISIN PASTR,crispy apple raisin pastr,7,lain_lain,25,4,0,1,0,0,0,0,0,0,0,0
PEPPERONI,pepperoni,7,lain_lain,9,1,0,1,0,0,0,0,0,0,0,0
CK.MANTAP A,ck mantap a,7,lain_lain,11,3,0,1,0,0,0,0,0,0,0,0
CHEESE B,cheese b,1,minuman,8,2,0,1,1,0,1,0,0,0,0,0
TAKE AWAY,take away,7,lain_lain,9,2,0,1,0,0,0,0,0,0,0,0
TARO,taro,7,lain_lain,4,1,0,1,0,0,0,0,0,0,0,0
1216 DPR BATB SD ENCHANTED ROS,1216 dpr batb sd enchanted ros,7,lain_lain,30,6,1,1,0,0,0,0,0,0,0,0
"1216 GGM 12"" TTN HERO YONDU",1216 ggm 12 ttn hero yondu,7,lain_lain,26,6,1,1,0,0,0,0,0,0,0,0
"0217 GGM 12"" TITAN HERO GAMORA",0217 ggm 12 titan hero gamora,7,lain_lain,29,6,1,1,0,0,0,0,0,0,0,0
BASO KUAH,baso kuah,0,makanan,9,2,0,1,1,1,0,0,0,0,0,0
CHICKEN KATSU CURRY UDON,chicken katsu curry udon,0,makanan,24,4,0,1,1,1,0,0,0,0,0,0
AYAM,ayam,0,makanan,4,1,0,1,1,1,0,0,0,0,0,0
DONAT AYAM,donat ayam,0,makanan,10,2,0,1,1,1,0,0,0,0,0,0
ROTI SISIR,roti sisir,0,makanan,10,2,0,1,1,1,0,0,0,0,0,0
BANANA SPLIT,banana split,7,lain_lain,12,2,0,1,0,0,0,0,0,0,0,0
DONATCOKLAT,donatcoklat,1,minuman,11,1,0,1,1,0,1,0,0,0,0,0
TIGER ROLL PTG,tiger roll ptg,7,lain_lain,14,3,0,1,0,0,0,0,0,0,0,0
MARMER CAKE PTG,marmer cake ptg,0,makanan,15,3,0,1,1,1,0,0,0,0,0,0
BOLU HAWAI PTNG,bolu hawai ptng,7,lain_lain,15,3,0,1,0,0,0,0,0,0,0,0
BANANA CAKE PTG,banana cake ptg,0,makanan,15,3,0,1,1,1,0,0,0,0,0,0
MANDARIN CAKE PTG,mandarin cake ptg,0,makanan,17,3,0,1,1,1,0,0,0,0,0,0
LAPIS SURABAYA PTG,lapis surabaya ptg,7,lain_lain,18,3,0,1,0,0,0,0,0,0,0,0
CAKE PITA,cake pita,0,makanan,9,2,0,1,1,1,0,0,0,0,0,0
PLASTIK TENTENG KECIL,plastik tenteng kecil,3,belanja,21,3,0,1,1,0,0,0,1,0,0,0
Lemon Tea (L).,lemon tea l,1,minuman,11,3,0,0,1,0,1,0,0,0,0,0
Popcorn Salt (S).,popcorn salt s,7,lain_lain,14,3,0,0,0,0,0,0,0,0,0,0
TROPICAL PUNCH,tropical punch,7,lain_lain,14,2,0,1,0,0,0,0,0,0,0,0
SOUP 50%,soup 50,0,makanan,7,2,1,1,1,1,0,0,0,0,0,0
SALAD BAR 50%,salad bar 50,0,makanan,12,3,1,1,1,1,0,0,0,0,0,0
TWIST ORANGE CHOCO DONUT,twist orange choco donut,0,makanan,24,4,0,1,1,1,0,0,0,0,0,0
CHOCOLATE TWIST,chocolate twist,1,minuman,15,2,0,1,1,0,1,0,0,0,0,0
REAL CHOCOLATE ROLL,real chocolate roll,1,minuman,19,3,0,1,1,0,1,0,0,0,0,0
CHOCOLATE SOBORO,chocolate soboro,1,minuman,16,2,0,1,1,0,1,0,0,0,0,0
5001-Corn Flakes Cookies,5001 corn flakes cookies,1,minuman,24,4,1,0,2,1,1,0,0,0,0,0
4003-Blueberry Fuji,4003 blueberry fuji,7,lain_lain,19,3,1,0,0,0,0,0,0,0,0,0
Coke (L),coke l,7,lain_lain,6,2,0,0,0,0,0,0,0,0,0,0
Extra Jelly Lychee,extra jelly lychee,7,lain_lain,18,3,0,0,0,0,0,0,0,0,0,0
Popcorn Salt (M),popcorn salt m,7,lain_lain,14,3,0,0,0,0,0,0,0,0,0,0
THAI ICED COFFEE,thai iced coffee,1,minuman,16,3,0,1,1,0,1,0,0,0,0,0
THAI ICED GREEN TEA,thai iced green tea,1,minuman,19,4,0,1,1,0,1,0,0,0,0,0
RAMES AYAM,rames ayam,1,minuman,10,2,0,1,2,1,1,0,0,0,0,0
Dendeng PDS,dendeng pds,7,lain_lain,11,2,0,0,0,0,0,0,0,0,0,0
CAPPUCINO CARAMEL,cappucino caramel,7,lain_lain,17,2,0,1,0,0,0,0,0,0,0,0
Grilled Dorry Fish,grilled dorry fish,0,makanan,18,3,0,0,1,1,0,0,0,0,0,0
Set Menu Family,set menu family,0,makanan,15,3,0,0,1,1,0,0,0,0,0,0
Teppan Seafood Udon,teppan seafood udon,0,makanan,19,3,0,0,1,1,0,0,0,0,0,0
EDAMAME,edamame,7,lain_lain,7,1,0,1,0,0,0,0,0,0,0,0
df shllt by not250,df shllt by not250,7,lain_lain,18,4,1,0,0,0,0,0,0,0,0,0
CF BUNCIS ORG,cf buncis org,0,makanan,13,3,0,1,1,1,0,0,0,0,0,0
CABE KERITING CURA,cabe keriting cura,7,lain_lain,18,3,0,1,0,0,0,0,0,0,0,0
TOMAT CURAH,tomat curah,7,lain_lain,11,2,0,1,0,0,0,0,0,0,0,0
JERUK NIPIS,jeruk nipis,1,minuman,11,2,0,1,1,0,1,0,0,0,0,0
CUMI BANGKA,cumi bangka,0,makanan,11,2,0,1,1,1,0,0,0,0,0,0
KING DEAL CHEESE BURGER R,king deal cheese burger r,1,minuman,25,5,0,1,2,1,1,0,0,0,0,0
1 PC BIC,1 pc bic,7,lain_lain,8,3,1,1,0,0,0,0,0,0,0,0
POTATO SAUSAGE BREAD,potato sausage bread,7,lain_lain,20,3,0,1,0,0,0,0,0,0,0,0
OREO GREEN TEA SPREAD,oreo green tea spread,1,minuman,21,4,0,1,1,0,1,0,0,0,0,0
WHITE CHOCO BANANA SPREAD,white choco banana spread,7,lain_lain,25,4,0,1,0,0,0,0,0,0,0,0
APUCINO MEDIUM,apucino medium,7,lain_lain,14,2,0,1,0,0,0,0,0,0,0,0
CIRENG PANDAWA,cireng pandawa,7,lain_lain,14,2,0,1,0,0,0,0,0,0,0,0
BASO TAHU KWETIAU,baso tahu kwetiau,0,makanan,17,3,0,1,1,1,0,0,0,0,0,0
PKT TELOR/PERKEDEL,pkt telor perkedel,7,lain_lain,18,3,0,1,0,0,0,0,0,0,0,0
DENDENG,dendeng,7,lain_lain,7,1,0,1,0,0,0,0,0,0,0,0
SBL GR TERI,sbl gr teri,7,lain_lain,11,3,0,1,0,0,0,0,0,0,0,0
NESTLE 330 ML,nestle 330 ml,1,minuman,13,3,1,1,1,0,1,0,0,0,0,0
2005-CHEESE JOHN,2005 cheese john,1,minuman,16,3,1,1,1,0,1,0,0,0,0,0
SBL GR UDANG SPC,sbl gr udang spc,0,makanan,16,4,0,1,1,1,0,0,0,0,0,0
SAMGYOPSAL,samgyopsal,7,lain_lain,10,1,0,1,0,0,0,0,0,0,0,0
OGYOPSAL,ogyopsal,7,lain_lain,8,1,0,1,0,0,0,0,0,0,0,0
YUKHWE,yukhwe,7,lain_lain,6,1,0,1,0,0,0,0,0,0,0,0
RICE,rice,1,minuman,4,1,0,1,2,1,1,0,0,0,0,0
JABCHAE BEEF,jabchae beef,0,makanan,12,2,0,1,1,1,0,0,0,0,0,0
OCHA DINGIN,ocha dingin,7,lain_lain,11,2,0,1,0,0,0,0,0,0,0,0
SUNDUBU,sundubu,7,lain_lain,7,1,0,1,0,0,0,0,0,0,0,0
NASI KUNING,nasi kuning,0,makanan,11,2,0,1,1,1,0,0,0,0,0,0
CENTIKPLANCI,centikplanci,7,lain_lain,12,1,0,1,0,0,0,0,0,0,0,0
MIKA KECIL,mika kecil,0,makanan,10,2,0,1,1,1,0,0,0,0,0,0
SENDOK MAKAN,sendok makan,3,belanja,12,2,0,1,1,0,0,0,1,0,0,0
GARPU,garpu,3,belanja,5,1,0,1,1,0,0,0,1,0,0,0
HOT OCHA,hot ocha,1,minuman,8,2,0,1,1,0,1,0,0,0,0,0
JYO HARAMI 30%,jyo harami 30,0,makanan,13,3,1,1,1,1,0,0,0,0,0,0
WAKI SALAD,waki salad,0,makanan,10,2,0,1,1,1,0,0,0,0,0,0
MARBLED SIRLOIN STEAK 200gr,marbled sirloin steak 200gr,1,minuman,27,4,1,0,2,1,1,0,0,0,0,0
FRANKFRUT SAUSAGE ROLL,frankfrut sausage roll,7,lain_lain,22,3,0,1,0,0,0,0,0,0,0,0
NS MINI STICK,ns mini stick,0,makanan,13,3,0,1,1,1,0,0,0,0,0,0
GERRY SM CHEESE110,gerry sm cheese110,1,minuman,18,3,1,1,1,0,1,0,0,0,0,0
DECOLGEN TABLET 4S,decolgen tablet 4s,7,lain_lain,18,3,1,1,0,0,0,0,0,0,0,0
FIXALL HK 26521,fixall hk 26521,7,lain_lain,15,3,1,1,0,0,0,0,0,0,0,0
YELLOW,yellow,7,lain_lain,6,1,0,1,0,0,0,0,0,0,0,0
VANBALL,vanball,7,lain_lain,7,1,0,1,0,0,0,0,0,0,0,0
BANANA DONUT,banana donut,0,makanan,12,2,0,1,1,1,0,0,0,0,0,0
DARK CHOCOLATE MUFFIN,dark chocolate muffin,1,minuman,21,3,0,1,1,0,1,0,0,0,0,0
[MD] MINI CASTELLA CHOCOL,md mini castella chocol,0,makanan,23,4,0,1,1,1,0,0,0,0,0,0
PREMIUM MILK PAN BREAD,premium milk pan bread,1,minuman,22,4,0,1,2,1,1,0,0,0,0,0
KAYA BUN,kaya bun,0,makanan,8,2,0,1,1,1,0,0,0,0,0,0
SAUSAGE BREAD,sausage bread,7,lain_lain,13,2,0,1,0,0,0,0,0,0,0,0
TLJ HOTDOG,tlj hotdog,1,minuman,10,2,0,1,1,0,1,0,0,0,0,0
"RB, Abon Sam",rb abon sam,7,lain_lain,11,3,0,0,0,0,0,0,0,0,0,0
Salad Deluxe,salad deluxe,0,makanan,12,2,0,0,1,1,0,0,0,0,0,0
Perkedel,perkedel,7,lain_lain,8,1,0,0,0,0,0,0,0,0,0,0
"Chicken HCC, 1PCS",chicken hcc 1pcs,0,makanan,16,3,1,0,1,1,0,0,0,0,0,0
STIX CINNAMON,stix cinnamon,7,lain_lain,13,2,0,1,0,0,0,0,0,0,0,0
BULGOGI JEONGSIK,bulgogi jeongsik,7,lain_lain,16,2,0,1,0,0,0,0,0,0,0,0
EL KEUN HWANGTAE,el keun hwangtae,7,lain_lain,16,3,0,1,0,0,0,0,0,0,0,0
SUNDUBU(TUKBEGI) GYERAN CIM,sundubu tukbegi gyeran cim,7,lain_lain,26,4,0,1,0,0,0,0,0,0,0,0
BLACK PRAWN PASTA,black prawn pasta,0,makanan,17,3,0,1,1,1,0,0,0,0,0,0
CARBONARA,carbonara,7,lain_lain,9,1,0,1,0,0,0,0,0,0,0,0
ES KOPI SUSU,es kopi susu,1,minuman,12,3,0,1,1,0,1,0,0,0,0,0
THAI GREEN TEA ICE,thai green tea ice,1,minuman,18,4,0,1,1,0,1,0,0,0,0,0
SpcPrice Caudburry,spcprice caudburry,1,minuman,18,2,0,0,2,1,1,0,0,0,0,0
),,7,lain_lain,0,0,0,0,0,0,0,0,0,0,0,0
>,,7,lain_lain,0,0,0,0,0,0,0,0,0,0,0,0
FL-Xmas 30 Off,fl xmas 30 off,7,lain_lain,14,4,1,0,0,0,0,0,0,0,0,0
Ayam goreng+Sayur asem,ayam goreng sayur asem,0,makanan,22,4,0,0,1,1,0,0,0,0,0,0
Nasi Uduk Ayam,nasi uduk ayam,0,makanan,14,3,0,0,1,1,0,0,0,0,0,0
Nasi Rawon,nasi rawon,0,makanan,10,2,0,0,1,1,0,0,0,0,0,0
Teh Tawar Dingin,teh tawar dingin,1,minuman,16,3,0,0,1,0,1,0,0,0,0,0
Sayur Asem,sayur asem,0,makanan,10,2,0,0,1,1,0,0,0,0,0,0
NEW BEEF SPAGHETTI,new beef spaghetti,0,makanan,18,3,0,1,2,1,0,0,0,0,1,0
P/P AMERICAN FAV,p p american fav,7,lain_lain,16,4,0,1,0,0,0,0,0,0,0,0
PAKET HAPPY HOUR,paket happy hour,7,lain_lain,16,3,0,1,0,0,0,0,0,0,0,0
RTD Jahe,rtd jahe,7,lain_lain,8,2,0,0,0,0,0,0,0,0,0,0
BITTERBALLEN,bitterballen,7,lain_lain,12,1,0,1,0,0,0,0,0,0,0,0
MOZZARELA STICK,mozzarela stick,7,lain_lain,15,2,0,1,0,0,0,0,0,0,0,0
NOUGAT ICE CREAM,nougat ice cream,1,minuman,16,3,0,1,1,0,1,0,0,0,0,0
SAUCYS BROOD,saucys brood,7,lain_lain,12,2,0,1,0,0,0,0,0,0,0,0
AMANDEL BROOD,amandel brood,7,lain_lain,13,2,0,1,0,0,0,0,0,0,0,0
BOKKEPOOTJES,bokkepootjes,1,minuman,12,1,0,1,1,0,1,0,0,0,0,0
Mie Jumbo Pst/bakso,mie jumbo pst bakso,0,makanan,19,4,0,0,1,1,0,0,0,0,0,0
Bakmie Pst/ Bakso,bakmie pst bakso,0,makanan,16,3,0,0,1,1,0,0,0,0,0,0
Liang Teh,liang teh,1,minuman,9,2,0,0,1,0,1,0,0,0,0,0
Es /hagat Jeruk,es hagat jeruk,1,minuman,14,3,0,0,1,0,1,0,0,0,0,0
Krupuk Babi Bungkus,krupuk babi bungkus,0,makanan,19,3,0,0,1,1,0,0,0,0,0,0
PEACH PASTRY,peach pastry,7,lain_lain,12,2,0,1,0,0,0,0,0,0,0,0
