text,label_id,category,sumber
2xGoRide,2,transportasi,synthetic
Gorengan,0,makanan,synthetic
tiket bioskop,5,hiburan,synthetic
FOLDER,3,belanja,synthetic
MAP PLASTIK,3,belanja,synthetic
Sikat Gigi,3,belanja,synthetic
1xTransjakarta,2,transportasi,synthetic
print,7,lain_lain,synthetic
1xObat Flu,6,kesehatan,synthetic
Teh Susu,1,minuman,synthetic
Alat Musik,5,hiburan,synthetic
2xTiket Bus,2,transportasi,synthetic
SATE KAMBING,0,makanan,synthetic
2xOjekOnline,2,transportasi,synthetic
Obat Flu,6,kesehatan,synthetic
Aqua,1,minuman,synthetic
DONASI,7,lain_lain,synthetic
TIKET MASUK,5,hiburan,synthetic
infaq,7,lain_lain,synthetic
2 Air PAM,4,tagihan,synthetic
Kopi Tubruk,1,minuman,synthetic
pecel lele,0,makanan,synthetic
2 Setrika,7,lain_lain,synthetic
Isi Bensi,2,transportasi,synthetic
shopee,3,belanja,synthetic
3xUang Kos,4,tagihan,synthetic
jnt,7,lain_lain,synthetic
2 Jajan,7,lain_lain,synthetic
SALON,7,lain_lain,synthetic
MACCHIATO,1,minuman,synthetic
Thai Tea,1,minuman,synthetic
2xRisol,0,makanan,synthetic
2xBiaya Pendaftaran,7,lain_lain,synthetic
mineral water,1,minuman,synthetic
3xJus Alpukat,1,minuman,synthetic
Grill,0,makanan,synthetic
2 Top Up FF,5,hiburan,synthetic
2xKopi Latte,1,minuman,synthetic
LAIN-LAIN,7,lain_lain,synthetic
3xIced Americano,1,minuman,synthetic
Teh Manis,1,minuman,synthetic
mrt,2,transportasi,synthetic
Spring Roll,0,makanan,synthetic
2 Antasida,6,kesehatan,synthetic
LAVENDER LATTE,1,minuman,synthetic
netflix,4,tagihan,synthetic
nasi bakar,0,makanan,synthetic
donasi,7,lain_lain,synthetic
Gelang,3,belanja,synthetic
cabut gigi,6,kesehatan,synthetic
3xKopi Susu,1,minuman,synthetic
Pretzel,0,makanan,synthetic
1 Formulir,7,lain_lain,synthetic
top up mobile legends,5,hiburan,synthetic
mushroom soup,0,makanan,synthetic
lontong,0,makanan,synthetic
Sate Ayam,0,makanan,synthetic
3xJus Mangga,1,minuman,synthetic
Soup,0,makanan,synthetic
Mushroom Soup,0,makanan,synthetic
good day,1,minuman,synthetic
UDON,0,makanan,synthetic
3xAntasida,6,kesehatan,synthetic
1 Chicken Bowl,0,makanan,synthetic
Rapi Test,6,kesehatan,synthetic
Biaya Admi,4,tagihan,synthetic
BAYAR LISTRIK,4,tagihan,synthetic
Banana Bread,0,makanan,synthetic
tiket mrt,2,transportasi,synthetic
grabbike,2,transportasi,synthetic
Biaya Transfe,7,lain_lain,synthetic
3xKopi Gula Aren,1,minuman,synthetic
3xTaksi Online,2,transportasi,synthetic
betadine,6,kesehatan,synthetic
Brownie,0,makanan,synthetic
es kelapa muda,1,minuman,synthetic
BIAYA BEROBAT,6,kesehatan,synthetic
1 Ayam Penyet,0,makanan,synthetic
pudding,0,makanan,synthetic
brown sugar latte,1,minuman,synthetic
1 Nasi Box,0,makanan,synthetic
Kereta Api,2,transportasi,synthetic
Tagihan Telepo,4,tagihan,synthetic
IKAT PINGGANG,3,belanja,synthetic
Cuc Baju,7,lain_lain,synthetic
2 Cinepolis,5,hiburan,synthetic
TOPI,3,belanja,synthetic
Iced Americano,1,minuman,synthetic
sparkling water,1,minuman,synthetic
disney plus,4,tagihan,synthetic
3xSewa Kos,4,tagihan,synthetic
Es Dawet,1,minuman,synthetic
TEH BOTOL,1,minuman,synthetic
1 Brown Sugar,1,minuman,synthetic
2 Sikat Gigi,3,belanja,synthetic
Fried Noodle,0,makanan,synthetic
DEODORAN,3,belanja,synthetic
VOUCHER GAME,5,hiburan,synthetic
Keret Api,2,transportasi,synthetic
3xBiaya Admin,4,tagihan,synthetic
paracetamol,6,kesehatan,synthetic
Nasi Pecel,0,makanan,synthetic
banana bread,0,makanan,synthetic
KEBUN BINATANG,5,hiburan,synthetic
Taksi Onlin,2,transportasi,synthetic
BUFFALO WING,0,makanan,synthetic
pensil,3,belanja,synthetic
cat akrilik,5,hiburan,synthetic
formulir,7,lain_lain,synthetic
buku novel,5,hiburan,synthetic
2 Le Mineral,1,minuman,synthetic
Apple Juice,1,minuman,synthetic
3xKeyboard,3,belanja,synthetic
2xToken Listrik,4,tagihan,synthetic
kontrakan,4,tagihan,synthetic
nasi pecel,0,makanan,synthetic
jne,7,lain_lain,synthetic
Kebu Binatang,5,hiburan,synthetic
2 Materai,7,lain_lain,synthetic
Headset,3,belanja,synthetic
1 Kopi Americano,1,minuman,synthetic
dokter gigi,6,kesehatan,synthetic
TOP UP FF,5,hiburan,synthetic
2xPower Bank,3,belanja,synthetic
CARAMEL MACCHIATO,1,minuman,synthetic
roti bakar,0,makanan,synthetic
Paket Hemat,0,makanan,synthetic
Kimbap,0,makanan,synthetic
Obat Batuk,6,kesehatan,synthetic
Nachos,0,makanan,synthetic
TRANSFER,7,lain_lain,synthetic
Carpaccio,0,makanan,synthetic
folder,3,belanja,synthetic
Kebun Binatan,5,hiburan,synthetic
Buffal Wing,0,makanan,synthetic
wahana,5,hiburan,synthetic
lrt,2,transportasi,synthetic
2 Matcha,1,minuman,synthetic
PEMPEK,0,makanan,synthetic
crepe,0,makanan,synthetic
MOCHA,1,minuman,synthetic
BAYAR KOS,4,tagihan,synthetic
Es Kelapa Muda,1,minuman,synthetic
1 Textbook,3,belanja,synthetic
Lab Kesehata,6,kesehatan,synthetic
antasida,6,kesehatan,synthetic
2 Nasi Uduk,0,makanan,synthetic
Hojicha,1,minuman,synthetic
1 Obat Maag,6,kesehatan,synthetic
1xRamen,0,makanan,synthetic
tiket event,5,hiburan,synthetic
THAI TEA,1,minuman,synthetic
Top Up Mobil Legends,5,hiburan,synthetic
E-TOLL,2,transportasi,synthetic
Siomay,0,makanan,synthetic
3xDisney Plus,4,tagihan,synthetic
SERVIS MOTOR,2,transportasi,synthetic
2 Kopi Gula Aren,1,minuman,synthetic
RAPID TEST,6,kesehatan,synthetic
3xCold Brew,1,minuman,synthetic
TEH HIJAU,1,minuman,synthetic
1xIsi Bensin,2,transportasi,synthetic
PARACETAMOL,6,kesehatan,synthetic
Teh Hijau,1,minuman,synthetic
Tisu,3,belanja,synthetic
amoxicillin,6,kesehatan,synthetic
stabilo,3,belanja,synthetic
2 Croissant,0,makanan,synthetic
1 MRT,2,transportasi,synthetic
tambal gigi,6,kesehatan,synthetic
1xKopi Instan,1,minuman,synthetic
2 Spotify,4,tagihan,synthetic
Kopi Cappuccino,1,minuman,synthetic
japchae,0,makanan,synthetic
1 Bakso,0,makanan,synthetic
Tiket Konse,5,hiburan,synthetic
French Toast,0,makanan,synthetic
Kopi Hitam,1,minuman,synthetic
SICEPAT,7,lain_lain,synthetic
2xServis Motor,2,transportasi,synthetic
2 CGV,5,hiburan,synthetic
alat musik,5,hiburan,synthetic
2xJus Melon,1,minuman,synthetic
KUOTA INTERNET,4,tagihan,synthetic
pisang goreng,0,makanan,synthetic
headset,3,belanja,synthetic
1 Disney Plus,4,tagihan,synthetic
3xGrabExpress,7,lain_lain,synthetic
3xLumpia,0,makanan,synthetic
deodoran,3,belanja,synthetic
SPAGHETTI,0,makanan,synthetic
YOUTUBE PREMIUM,4,tagihan,synthetic
Muffin,0,makanan,synthetic
Es Buah,1,minuman,synthetic
Ayam Kremes,0,makanan,synthetic
INTERNET BULANAN,4,tagihan,synthetic
Nescafe,1,minuman,synthetic
2 Tiket Konser,5,hiburan,synthetic
1 Cinepolis,5,hiburan,synthetic
Tenis,5,hiburan,synthetic
Good Day,1,minuman,synthetic
TIKET KERETA,2,transportasi,synthetic
2xSate Ayam,0,makanan,synthetic
tomato soup,0,makanan,synthetic
Earphone,3,belanja,synthetic
Galbi,0,makanan,synthetic
2 Crepe,0,makanan,synthetic
1 Kolam Renang,5,hiburan,synthetic
2 OjekOnline,2,transportasi,synthetic
pulsa,4,tagihan,synthetic
KIMIA FARMA,6,kesehatan,synthetic
2xDiamond ML,5,hiburan,synthetic
first media,4,tagihan,synthetic
Ear Grey,1,minuman,synthetic
SOUP,0,makanan,synthetic
Pizza,0,makanan,synthetic
2 Textbook,3,belanja,synthetic
Boba,1,minuman,synthetic
Bebek Goreng,0,makanan,synthetic
diamond ml,5,hiburan,synthetic
Nasi Ayam Kremes,0,makanan,synthetic
Tagiha Listrik,4,tagihan,synthetic
rice bowl,0,makanan,synthetic
Nasi Kuning,0,makanan,synthetic
FUTSAL,5,hiburan,synthetic
SIKAT GIGI,3,belanja,synthetic
LEGALISIR,7,lain_lain,synthetic
Tike Wisata,5,hiburan,synthetic
bruschetta,0,makanan,synthetic
AMERICANO,1,minuman,synthetic
BIBIMBAP,0,makanan,synthetic
1 Detergen,3,belanja,synthetic
Tiket Biosko,5,hiburan,synthetic
Club Sandwich,0,makanan,synthetic
2xSikat Gigi,3,belanja,synthetic
2 Futsal,5,hiburan,synthetic
NASI AYAM KREMES,0,makanan,synthetic
Jus Melon,1,minuman,synthetic
2 IndiHome,4,tagihan,synthetic
1xBLT,0,makanan,synthetic
Buffalo Wing,0,makanan,synthetic
Ikan Goreng,0,makanan,synthetic
bowling,5,hiburan,synthetic
lavender latte,1,minuman,synthetic
IURAN ORGANISASI,7,lain_lain,synthetic
tas,3,belanja,synthetic
Bulgogi,0,makanan,synthetic
Jjajangmyeon,0,makanan,synthetic
maxim,2,transportasi,synthetic
Macaron,0,makanan,synthetic
2 Bioskop,5,hiburan,synthetic
Soba,0,makanan,synthetic
Buku Kulia,3,belanja,synthetic
2 Tisu,3,belanja,synthetic
sedekah,7,lain_lain,synthetic
2xRumah Sakit,6,kesehatan,synthetic
Baterai,3,belanja,synthetic
Parkir Moto,2,transportasi,synthetic
goride,2,transportasi,synthetic
Potong Rambu,7,lain_lain,synthetic
METROMINI,2,transportasi,synthetic
ikat pinggang,3,belanja,synthetic
nasi bebek,0,makanan,synthetic
TEXTBOOK,3,belanja,synthetic
masker,6,kesehatan,synthetic
BUSWAY,2,transportasi,synthetic
1xSpring Roll,0,makanan,synthetic
2 MaximCar,2,transportasi,synthetic
Tike Masuk,5,hiburan,synthetic
CARDIGAN,3,belanja,synthetic
3xTenis,5,hiburan,synthetic
Gulai,0,makanan,synthetic
e-toll,2,transportasi,synthetic
2xBus,2,transportasi,synthetic
2 Vitamin D,6,kesehatan,synthetic
KOMIK,5,hiburan,synthetic
MASKER,6,kesehatan,synthetic
1 Grab,2,transportasi,synthetic
Baya Kos,4,tagihan,synthetic
2xBubble Tea,1,minuman,synthetic
1 Kontrakan,4,tagihan,synthetic
RESEP DOKTER,6,kesehatan,synthetic
Tagiha WiFi,4,tagihan,synthetic
nescafe,1,minuman,synthetic
Pin Lemonade,1,minuman,synthetic
2 Jus Jambu,1,minuman,synthetic
3xBuku Kuliah,3,belanja,synthetic
1 Tagihan Listrik,4,tagihan,synthetic
Ikan Baka,0,makanan,synthetic
BIOSKOP,5,hiburan,synthetic
1xAir Mineral,1,minuman,synthetic
tokopedia,3,belanja,synthetic
2xTiket MRT,2,transportasi,synthetic
1xSpotify,4,tagihan,synthetic
1xMaxim,2,transportasi,synthetic
STEAM,5,hiburan,synthetic
buku catatan,3,belanja,synthetic
3xOjek,2,transportasi,synthetic
scan,7,lain_lain,synthetic
1 Milkshake,1,minuman,synthetic
pdam,4,tagihan,synthetic
power bank,3,belanja,synthetic
Tagiha Telepon,4,tagihan,synthetic
Bibimbap,0,makanan,synthetic
3xTiket Event,5,hiburan,synthetic
TAMBAL GIGI,6,kesehatan,synthetic
1 Transfer,7,lain_lain,synthetic
KUPAT TAHU,0,makanan,synthetic
Mango Drink,1,minuman,synthetic
Tongseng,0,makanan,synthetic
teh hijau,1,minuman,synthetic
uc pubg,5,hiburan,synthetic
Dumpling,0,makanan,synthetic
3xSkincare,3,belanja,synthetic
Vitami D,6,kesehatan,synthetic
2 Kuota Internet,4,tagihan,synthetic
1xNugget,0,makanan,synthetic
SOFTLENS,6,kesehatan,synthetic
HOODIE,3,belanja,synthetic
Caramel Latte,1,minuman,synthetic
Chicken Bowl,0,makanan,synthetic
RAWON,0,makanan,synthetic
1 Taksi Online,2,transportasi,synthetic
Nasi Uduk,0,makanan,synthetic
Red Velvet,0,makanan,synthetic
1xJaket,3,belanja,synthetic
3xVoucher Game,5,hiburan,synthetic
caramel latte,1,minuman,synthetic
lain-lain,7,lain_lain,synthetic
GRAB,2,transportasi,synthetic
Fries,0,makanan,synthetic
1 Minyak Kayu Putih,6,kesehatan,synthetic
Kopi Gul Aren,1,minuman,synthetic
UC PUB,5,hiburan,synthetic
Pempek,0,makanan,synthetic
grill,0,makanan,synthetic
1 Setrika,7,lain_lain,synthetic
1 SPBU,2,transportasi,synthetic
Tahu Tempe,0,makanan,synthetic
Diamond ML,5,hiburan,synthetic
CAT AKRILIK,5,hiburan,synthetic
GOCAR,2,transportasi,synthetic
ES CAMPUR,1,minuman,synthetic
3xLensa Kontak,6,kesehatan,synthetic
1 Map Plastik,3,belanja,synthetic
1 Rapid Test,6,kesehatan,synthetic
BLAZER,3,belanja,synthetic
penggaris,3,belanja,synthetic
MATERAI,7,lain_lain,synthetic
1xLRT,2,transportasi,synthetic
2xTransfer,7,lain_lain,synthetic
Tagihan Listri,4,tagihan,synthetic
NASI BEBEK,0,makanan,synthetic
Internet Bulana,4,tagihan,synthetic
3xObat Sakit Kepala,6,kesehatan,synthetic
BLT,0,makanan,synthetic
2 Baju,3,belanja,synthetic
2 Vitamin C,6,kesehatan,synthetic
2xApple Juice,1,minuman,synthetic
Telur Ceplo,0,makanan,synthetic
JUS SEMANGKA,1,minuman,synthetic
Fried Rice,0,makanan,synthetic
Matcha Latte,1,minuman,synthetic
3xMaxim,2,transportasi,synthetic
CUCI BAJU,7,lain_lain,synthetic
Kabel Dat,3,belanja,synthetic
bbm,2,transportasi,synthetic
2 Kolam Renang,5,hiburan,synthetic
carpaccio,0,makanan,synthetic
2xSabun,3,belanja,synthetic
2xDokter,6,kesehatan,synthetic
TOKOPEDIA,3,belanja,synthetic
PERTALITE,2,transportasi,synthetic
3xFestival,5,hiburan,synthetic
2 Amoxicillin,6,kesehatan,synthetic
2xBBQ Chicken,0,makanan,synthetic
GRAPE JUICE,1,minuman,synthetic
parkir motor,2,transportasi,synthetic
isi bensin,2,transportasi,synthetic
kaos,3,belanja,synthetic
biaya kos,4,tagihan,synthetic
2 Pempek,0,makanan,synthetic
2xDimsum,0,makanan,synthetic
top up genshin,5,hiburan,synthetic
KONTRAKAN,4,tagihan,synthetic
MINYAK KAYU PUTIH,6,kesehatan,synthetic
1xTiket MRT,2,transportasi,synthetic
Buku Nove,5,hiburan,synthetic
JILID,7,lain_lain,synthetic
1 Tokopedia,3,belanja,synthetic
cukur,7,lain_lain,synthetic
2xKacamata,6,kesehatan,synthetic
obat sakit kepala,6,kesehatan,synthetic
sorbet,0,makanan,synthetic
BIAYA KOS,4,tagihan,synthetic
2xRok,3,belanja,synthetic
2xPulpen,3,belanja,synthetic
TISU,3,belanja,synthetic
es dawet,1,minuman,synthetic
kopi instan,1,minuman,synthetic
TTEOKBOKKI,0,makanan,synthetic
RISOL,0,makanan,synthetic
Pink Lemonade,1,minuman,synthetic
Ice Cream,0,makanan,synthetic
Paket Dat,4,tagihan,synthetic
NONTON FILM,5,hiburan,synthetic
TARO LATTE,1,minuman,synthetic
konsultasi dokter,6,kesehatan,synthetic
legalisir,7,lain_lain,synthetic
2xLemon Tea,1,minuman,synthetic
APPLE MUSIC,4,tagihan,synthetic
donut,0,makanan,synthetic
2xTopi,3,belanja,synthetic
1 Tiket Kereta,2,transportasi,synthetic
KOPI MOCHA,1,minuman,synthetic
Nasi Warteg,0,makanan,synthetic
1xOnion Ring,0,makanan,synthetic
KLINIK,6,kesehatan,synthetic
Dimsum,0,makanan,synthetic
bayar listrik,4,tagihan,synthetic
PRETZEL,0,makanan,synthetic
parkir,2,transportasi,synthetic
BADMINTON,5,hiburan,synthetic
gorengan,0,makanan,synthetic
Crepe,0,makanan,synthetic
CLUB SANDWICH,0,makanan,synthetic
Kopi Instan,1,minuman,synthetic
APPLE JUICE,1,minuman,synthetic
ojekonline,2,transportasi,synthetic
cap cay,0,makanan,synthetic
kimbap,0,makanan,synthetic
Sausage Brea,0,makanan,synthetic
vitamin c,6,kesehatan,synthetic
adobe,4,tagihan,synthetic
Latte,1,minuman,synthetic
FESTIVAL,5,hiburan,synthetic
Kop Instan,1,minuman,synthetic
mouse,3,belanja,synthetic
JAPCHAE,0,makanan,synthetic
3xSedekah,7,lain_lain,synthetic
2 Pulsa,4,tagihan,synthetic
Martabak,0,makanan,synthetic
2xEarphone,3,belanja,synthetic
ice cream,0,makanan,synthetic
2xApple Music,4,tagihan,synthetic
kopi tubruk,1,minuman,synthetic
1xNescafe,1,minuman,synthetic
2xAdministrasi,4,tagihan,synthetic
APOTEK,6,kesehatan,synthetic
3xDompet,3,belanja,synthetic
Token Listri,4,tagihan,synthetic
COMMUTER LINE,2,transportasi,synthetic
Ketoprak,0,makanan,synthetic
BUBBLE TEA,1,minuman,synthetic
Taks Online,2,transportasi,synthetic
1xAngkot,2,transportasi,synthetic
1xMultivitamin,6,kesehatan,synthetic
garlic bread,0,makanan,synthetic
Nasi Campur,0,makanan,synthetic
es buah,1,minuman,synthetic
belanja online,3,belanja,synthetic
GORIDE,2,transportasi,synthetic
1xBeef Bowl,0,makanan,synthetic
Nasi Goreng Spesial,0,makanan,synthetic
1xCinepolis,5,hiburan,synthetic
earl grey,1,minuman,synthetic
biaya transfer,7,lain_lain,synthetic
KAOS,3,belanja,synthetic
3xGnocchi,0,makanan,synthetic
1 Taro Latte,1,minuman,synthetic
Power Ban,3,belanja,synthetic
TEMPURA,0,makanan,synthetic
PARKIR,2,transportasi,synthetic
1xGarlic Bread,0,makanan,synthetic
pink lemonade,1,minuman,synthetic
2 Obat Sakit Kepala,6,kesehatan,synthetic
SPOTIFY,4,tagihan,synthetic
Lemo Tea,1,minuman,synthetic
1 Martabak,0,makanan,synthetic
Nasi Padang,0,makanan,synthetic
1xEs Buah,1,minuman,synthetic
siomay,0,makanan,synthetic
2 Bus,2,transportasi,synthetic
Konsultasi Dokte,6,kesehatan,synthetic
KONSULTASI DOKTER,6,kesehatan,synthetic
GRABEXPRESS,7,lain_lain,synthetic
2xTop Up Genshin,5,hiburan,synthetic
SEWA KOS,4,tagihan,synthetic
klinik,6,kesehatan,synthetic
Ika Goreng,0,makanan,synthetic
tagihan hp,4,tagihan,synthetic
1 Biaya Periksa,6,kesehatan,synthetic
KABEL DATA,3,belanja,synthetic
map plastik,3,belanja,synthetic
IKAN BAKAR,0,makanan,synthetic
dompet,3,belanja,synthetic
sabun,3,belanja,synthetic
2 SPBU,2,transportasi,synthetic
AMOXICILLIN,6,kesehatan,synthetic
3xMaterai,7,lain_lain,synthetic
1xFormulir,7,lain_lain,synthetic
2 Orange Juice,1,minuman,synthetic
Pake Data,4,tagihan,synthetic
IURAN KELAS,7,lain_lain,synthetic
MAXIMCAR,2,transportasi,synthetic
Tiket Even,5,hiburan,synthetic
3xFlashdisk,3,belanja,synthetic
3xCGV,5,hiburan,synthetic
2 Modul,3,belanja,synthetic
2xLRT,2,transportasi,synthetic
COOKIE,0,makanan,synthetic
BUKU KULIAH,3,belanja,synthetic
3xHotdog,0,makanan,synthetic
1 Top Up PUBG,5,hiburan,synthetic
Burger,0,makanan,synthetic
DETERGEN,3,belanja,synthetic
Lontong,0,makanan,synthetic
Alat Musi,5,hiburan,synthetic
Brown Suga,1,minuman,synthetic
suplemen,6,kesehatan,synthetic
ASURANSI,4,tagihan,synthetic
brown sugar,1,minuman,synthetic
SUPLEMEN,6,kesehatan,synthetic
2 Lain-lain,7,lain_lain,synthetic
Roti Baka,0,makanan,synthetic
CAPPUCCINO,1,minuman,synthetic
2xBilliard,5,hiburan,synthetic
transjakarta,2,transportasi,synthetic
obat maag,6,kesehatan,synthetic
xxi,5,hiburan,synthetic
iuran,4,tagihan,synthetic
kopi aren,1,minuman,synthetic
SAMPO,3,belanja,synthetic
BAKSO,0,makanan,synthetic
3xGym,5,hiburan,synthetic
Soto,0,makanan,synthetic
3xDokter,6,kesehatan,synthetic
3xSalon,7,lain_lain,synthetic
DATA INTERNET,4,tagihan,synthetic
metromini,2,transportasi,synthetic
2 Parkir,2,transportasi,synthetic
Teh Boto,1,minuman,synthetic
1xDisney Plus,4,tagihan,synthetic
EARPHONE,3,belanja,synthetic
2 Print,7,lain_lain,synthetic
3xCinepolis,5,hiburan,synthetic
kuota internet,4,tagihan,synthetic
PAKET DATA,4,tagihan,synthetic
2xFrappe,1,minuman,synthetic
Tagiha Air,4,tagihan,synthetic
espresso,1,minuman,synthetic
YouTube Premiu,4,tagihan,synthetic
Tar Latte,1,minuman,synthetic
KOPI INSTAN,1,minuman,synthetic
sicepat,7,lain_lain,synthetic
1 Tteokbokki,0,makanan,synthetic
servis motor,2,transportasi,synthetic
PENGGARIS,3,belanja,synthetic
INFAQ,7,lain_lain,synthetic
Risol,0,makanan,synthetic
1xGanti Oli,2,transportasi,synthetic
DIMSUM,0,makanan,synthetic
jus alpukat,1,minuman,synthetic
2xRamune,1,minuman,synthetic
PUSKESMAS,6,kesehatan,synthetic
Dakgalbi,0,makanan,synthetic
Kop Dalgona,1,minuman,synthetic
Dokter Gig,6,kesehatan,synthetic
STABILO,3,belanja,synthetic
MILKSHAKE,1,minuman,synthetic
1xSiCepat,7,lain_lain,synthetic
Iced Latt,1,minuman,synthetic
EARL GREY,1,minuman,synthetic
boba,1,minuman,synthetic
1xRumah Sakit,6,kesehatan,synthetic
2 Cireng,0,makanan,synthetic
2xPasta Gigi,3,belanja,synthetic
JAKET,3,belanja,synthetic
Biay Transfer,7,lain_lain,synthetic
lemon tea,1,minuman,synthetic
Peppermint Tea,1,minuman,synthetic
sikat gigi,3,belanja,synthetic
Tagiha HP,4,tagihan,synthetic
2 Tiket Pesawat,2,transportasi,synthetic
2 Iced Latte,1,minuman,synthetic
kopi americano,1,minuman,synthetic
1xTiket Event,5,hiburan,synthetic
CHEESECAKE,0,makanan,synthetic
Brown Suga Latte,1,minuman,synthetic
OBAT BATUK,6,kesehatan,synthetic
3xBaju,3,belanja,synthetic
1 Charger,3,belanja,synthetic
Vanill Latte,1,minuman,synthetic
1xBioskop,5,hiburan,synthetic
1xKopi Gula Aren,1,minuman,synthetic
2 Pasta,0,makanan,synthetic
lensa kontak,6,kesehatan,synthetic
2xHotdog,0,makanan,synthetic
3xNasi Bebek,0,makanan,synthetic
dokter,6,kesehatan,synthetic
COLD BREW,1,minuman,synthetic
2xKomik,5,hiburan,synthetic
obat diare,6,kesehatan,synthetic
Minyak Kayu Puti,6,kesehatan,synthetic
DISNEY PLUS,4,tagihan,synthetic
TEH SUSU,1,minuman,synthetic
3xApple Music,4,tagihan,synthetic
2 Zakat,7,lain_lain,synthetic
Ika Pinggang,3,belanja,synthetic
ketoprak,0,makanan,synthetic
1 Ramune,1,minuman,synthetic
1xBBM,2,transportasi,synthetic
BILLIARD,5,hiburan,synthetic
Ala Musik,5,hiburan,synthetic
detergen,3,belanja,synthetic
internet bulanan,4,tagihan,synthetic
SETRIKA,7,lain_lain,synthetic
MUSHROOM SOUP,0,makanan,synthetic
1xBlazer,3,belanja,synthetic
CELANA,3,belanja,synthetic
blazer,3,belanja,synthetic
PULPEN,3,belanja,synthetic
BROWN SUGAR,1,minuman,synthetic
1 Netflix,4,tagihan,synthetic
2 Top Up PUBG,5,hiburan,synthetic
Cuci Baj,7,lain_lain,synthetic
Kop Tubruk,1,minuman,synthetic
LATTE,1,minuman,synthetic
PAMERAN,5,hiburan,synthetic
3xATM,7,lain_lain,synthetic
pasta gigi,3,belanja,synthetic
SOTO,0,makanan,synthetic
Canv Pro,4,tagihan,synthetic
nasi goreng spesial,0,makanan,synthetic
3xPertamax,2,transportasi,synthetic
billiard,5,hiburan,synthetic
1 Voucher Game,5,hiburan,synthetic
3xPulsa,4,tagihan,synthetic
celana,3,belanja,synthetic
tahu goreng,0,makanan,synthetic
MAKAN SIANG,0,makanan,synthetic
3xXXI,5,hiburan,synthetic
tempe goreng,0,makanan,synthetic
TART,0,makanan,synthetic
1xKlinik,6,kesehatan,synthetic
HOTDOG,0,makanan,synthetic
2xAlat Musik,5,hiburan,synthetic
bayar kos,4,tagihan,synthetic
3xDonasi,7,lain_lain,synthetic
soup,0,makanan,synthetic
1 PCR,6,kesehatan,synthetic
bensin,2,transportasi,synthetic
Es Kelap Muda,1,minuman,synthetic
textbook,3,belanja,synthetic
ES TEH,1,minuman,synthetic
1xSandal,3,belanja,synthetic
Ikan Bakar,0,makanan,synthetic
TAGIHAN WIFI,4,tagihan,synthetic
1xLain-lain,7,lain_lain,synthetic
1xBiaya Kos,4,tagihan,synthetic
2xCanva Pro,4,tagihan,synthetic
3xBPJS Kesehatan,4,tagihan,synthetic
Lavender Latte,1,minuman,synthetic
2 Headset,3,belanja,synthetic
Ganache,0,makanan,synthetic
Aya Bakar,0,makanan,synthetic
2xBiaya Berobat,6,kesehatan,synthetic
FRIES,0,makanan,synthetic
ENERGEN,1,minuman,synthetic
uang kos,4,tagihan,synthetic
1 GoSend,7,lain_lain,synthetic
Ikan Goren,0,makanan,synthetic
2xEnergen,1,minuman,synthetic
1xTahu Ikan Oma Giok,0,makanan,synthetic
2xMinyak Kayu Putih,6,kesehatan,synthetic
Garlic Bread,0,makanan,synthetic
2xIuran,4,tagihan,synthetic
3xSandwich,0,makanan,synthetic
Mobil Onlin,2,transportasi,synthetic
1xMobil Online,2,transportasi,synthetic
2xTeh Manis,1,minuman,synthetic
2xJajan,7,lain_lain,synthetic
2 Tomato Soup,0,makanan,synthetic
VANILLA LATTE,1,minuman,synthetic
2 Alat Musik,5,hiburan,synthetic
2xBaju,3,belanja,synthetic
1 Nasi Pecel,0,makanan,synthetic
GRABCAR,2,transportasi,synthetic
Iuran Organisas,7,lain_lain,synthetic
sampo,3,belanja,synthetic
TAKOYAKI,0,makanan,synthetic
SUNSCREEN,3,belanja,synthetic
1xFrench Toast,0,makanan,synthetic
1xFotokopi,7,lain_lain,synthetic
2xPatungan,7,lain_lain,synthetic
2 Spaghetti,0,makanan,synthetic
2 Diamond ML,5,hiburan,synthetic
patungan,7,lain_lain,synthetic
spotify,4,tagihan,synthetic
red velvet,0,makanan,synthetic
2 Kabel Data,3,belanja,synthetic
3xDamri,2,transportasi,synthetic
2 Parkir Motor,2,transportasi,synthetic
FRENCH TOAST,0,makanan,synthetic
POCARI SWEAT,1,minuman,synthetic
2xPCR,6,kesehatan,synthetic
2xGanache,0,makanan,synthetic
3xLampu,3,belanja,synthetic
1 Mie Goreng,0,makanan,synthetic
2 Milk Tea,1,minuman,synthetic
SHOPEE,3,belanja,synthetic
1xCek Darah,6,kesehatan,synthetic
3xTop Up Genshin,5,hiburan,synthetic
2 Cabut Gigi,6,kesehatan,synthetic
3xRetribusi Parkir,2,transportasi,synthetic
sunscreen,3,belanja,synthetic
3xPotong Rambut,7,lain_lain,synthetic
1xGrab,2,transportasi,synthetic
1 Frappe,1,minuman,synthetic
1 Es Kelapa Muda,1,minuman,synthetic
americano,1,minuman,synthetic
ICE CREAM,0,makanan,synthetic
1 Buku Novel,5,hiburan,synthetic
GNOCCHI,0,makanan,synthetic
eclair,0,makanan,synthetic
administrasi,4,tagihan,synthetic
3xEarphone,3,belanja,synthetic
ANGKOT,2,transportasi,synthetic
kolam renang,5,hiburan,synthetic
3xJajan,7,lain_lain,synthetic
TIKET KRL,2,transportasi,synthetic
tenis,5,hiburan,synthetic
1xGrabExpress,7,lain_lain,synthetic
Mie Ayam,0,makanan,synthetic
SCAN,7,lain_lain,synthetic
